id_lims,matrice,analita,parametro,livello,minimo,massimo,valore_misurato,udm
,terreno,"2,3,7,8-TCDD",LOQ,,,,0.04,ng/kg
,terreno,"2,3,7,8-TCDD",Intervallo di lavoro,,0.02,40,,ng/ml
,terreno,"2,3,7,8-TCDD",Intervallo di lavoro,,0.04,80,,ng/kg
,terreno,"2,3,7,8-TCDD",Intervallo di linearità,,0.02,40,,ng/ml
,terreno,"2,3,7,8-TCDD",Intervallo di linearità,,0.04,80,,ng/kg
Tx23a-2025,terreno,"2,3,7,8-TCDD",Precisione ed giustezza,0.04,,,0.0432,ng/kg
Tx24a-2025,terreno,"2,3,7,8-TCDD",Precisione ed giustezza,0.04,,,0.0401,ng/kg
Tx25a-2025,terreno,"2,3,7,8-TCDD",Precisione ed giustezza,0.04,,,0.0442,ng/kg
Tx26a-2025,terreno,"2,3,7,8-TCDD",Precisione ed giustezza,0.04,,,0.0396,ng/kg
Tx27a-2025,terreno,"2,3,7,8-TCDD",Precisione ed giustezza,0.04,,,0.0423,ng/kg
Tx28a-2025,terreno,"2,3,7,8-TCDD",Precisione ed giustezza,0.04,,,0.0398,ng/kg
Tx2xa-2025,terreno,"2,3,7,8-TCDD",Precisione ed giustezza,0.2,,,0.201,ng/kg
Tx30a-2025,terreno,"2,3,7,8-TCDD",Precisione ed giustezza,0.2,,,0.186,ng/kg
Tx31a-2025,terreno,"2,3,7,8-TCDD",Precisione ed giustezza,0.2,,,0.199,ng/kg
Tx32a-2025,terreno,"2,3,7,8-TCDD",Precisione ed giustezza,0.2,,,0.188,ng/kg
Tx33a-2025,terreno,"2,3,7,8-TCDD",Precisione ed giustezza,0.2,,,0.191,ng/kg
Tx34a-2025,terreno,"2,3,7,8-TCDD",Precisione ed giustezza,0.2,,,0.192,ng/kg
,sedimento,"2,3,7,8-TCDD",LOQ,,,,0.05,pg/g
,sedimento,"2,3,7,8-TCDD",Intervallo di lavoro,,0.03,40,,ng/ml
,sedimento,"2,3,7,8-TCDD",Intervallo di lavoro,,0.05,80,,ng/kg
